Iter  GoF  Param1  Param2  Param3  Param4  Param5  Param6  Param7  Param8  Param9  Param10  
107   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
108   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
109   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
110   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
111   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
112   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
113   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
114   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
115   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
116   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
117   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
118   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
119   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
120   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
121   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
122   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
123   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
124   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
125   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
126   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
